policy_name,metric_name,sample_count,mean,standard_deviation,confidence_interval_low,confidence_interval_high
Fixed-SINGLE,episode_reward,50,-2.203686666666667,0.21371285261098885,-2.2629237586159165,-2.1444495747174175
Fixed-SINGLE,request_success_rate,50,0.9202173913043478,0.04718095580792554,0.9071397378862124,0.9332950447224831
Fixed-SINGLE,sla_violation_rate,50,0.07586206896551724,0.039868014916843955,0.06481142209702044,0.08691271583401404
Fixed-SINGLE,average_delay_ms,50,150.01333425033172,2.6657157420500077,149.27444912202446,150.75221937863898
Fixed-SINGLE,average_memory_mb,50,1536.0,0.0,1536.0,1536.0
Fixed-SINGLE,total_cold_start_delay_ms,50,0.0,0.0,0.0,0.0
Fixed-SINGLE,reconfiguration_count,50,0.0,0.0,0.0,0.0
Fixed-COLD,episode_reward,50,-2.5775609191111113,0.41706068823177167,-2.6931621196723756,-2.461959718549847
Fixed-COLD,request_success_rate,50,0.9889130434782609,0.018305866309175974,0.9838390094530768,0.9939870775034451
Fixed-COLD,sla_violation_rate,50,0.07586206896551724,0.039868014916843955,0.06481142209702044,0.08691271583401404
Fixed-COLD,average_delay_ms,50,264.10456661047607,61.807582339007375,246.9726936629885,281.23643955796365
Fixed-COLD,average_memory_mb,50,1586.674871794872,27.436865469016027,1579.0699004385365,1594.2798431512074
Fixed-COLD,total_cold_start_delay_ms,50,6176.0,3343.867979036327,5249.144115946626,7102.855884053374
Fixed-COLD,reconfiguration_count,50,0.0,0.0,0.0,0.0
Fixed-HOT,episode_reward,50,-3.1665742524444442,0.07801525691987032,-3.1881985810290185,-3.14494992385987
Fixed-HOT,request_success_rate,50,0.9889130434782609,0.018305866309175974,0.9838390094530768,0.9939870775034451
Fixed-HOT,sla_violation_rate,50,0.009310344827586206,0.014864282039029173,0.005190251762765655,0.013430437892406756
Fixed-HOT,average_delay_ms,50,156.54037085462872,3.6128253885865393,155.53896515007878,157.54177655917866
Fixed-HOT,average_memory_mb,50,3072.0,0.0,3072.0,3072.0
Fixed-HOT,total_cold_start_delay_ms,50,0.0,0.0,0.0,0.0
Fixed-HOT,reconfiguration_count,50,0.0,0.0,0.0,0.0
Fixed-DYNAMIC,episode_reward,50,-2.6090331413333336,0.324939445880335,-2.6991001054788577,-2.5189661771878096
Fixed-DYNAMIC,request_success_rate,50,0.9889130434782609,0.018305866309175974,0.9838390094530768,0.9939870775034451
Fixed-DYNAMIC,sla_violation_rate,50,0.06482758620689656,0.03240765360275572,0.05584480799364481,0.07381036442014831
Fixed-DYNAMIC,average_delay_ms,50,246.20429869931885,50.20987510432423,232.28708711387833,260.1215102847594
Fixed-DYNAMIC,average_memory_mb,50,1735.8112820512822,22.23663581720697,1729.6477143273346,1741.9748497752298
Fixed-DYNAMIC,total_cold_start_delay_ms,50,5152.0,2710.0899902221036,4400.815183643881,5903.184816356119
Fixed-DYNAMIC,reconfiguration_count,50,0.0,0.0,0.0,0.0
Rule-Based,episode_reward,50,-2.566837585777778,0.22038636085315155,-2.627924445845956,-2.5057507257096
Rule-Based,request_success_rate,50,0.9889130434782609,0.018305866309175974,0.9838390094530768,0.9939870775034451
Rule-Based,sla_violation_rate,50,0.029310344827586206,0.024195668355158254,0.022603770966364147,0.03601691868880826
Rule-Based,average_delay_ms,50,188.8259500062696,34.23629120183079,179.3363086246363,198.3155913879029
Rule-Based,average_memory_mb,50,2115.7415384615388,15.087822571271648,2111.5594842610117,2119.923592662066
Rule-Based,total_cold_start_delay_ms,50,1856.0,1838.8283758737157,1346.3121443107823,2365.687855689218
Rule-Based,reconfiguration_count,50,0.0,0.0,0.0,0.0
Double-DQN,episode_reward,50,-2.5299175857777785,0.3420272115739086,-2.624720949888166,-2.435114221667391
Double-DQN,request_success_rate,50,0.9889130434782609,0.018305866309175974,0.9838390094530768,0.9939870775034451
Double-DQN,sla_violation_rate,50,0.04896551724137931,0.03292763540309045,0.039838610074992335,0.05809242440776629
Double-DQN,average_delay_ms,50,220.56950324673755,51.25962429423432,206.36132137791617,234.77768511555894
Double-DQN,average_memory_mb,50,1861.5794871794872,36.84690089614252,1851.3662350060076,1871.7927393529667
Double-DQN,total_cold_start_delay_ms,50,3680.0,2785.3845958751863,2907.9449672583796,4452.05503274162
Double-DQN,reconfiguration_count,50,0.0,0.0,0.0,0.0
