scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,failover_batches,hot_failover_function_stages,cold_failover_function_stages,total_cold_backup_startup_delay_ms
hot_standby,27,1027,1.0,0.0,150.68965517241378,285.0,3072.0,3072.0,0,0,0,0.0
trajectory_dynamic,27,1027,1.0,0.0,150.68965517241378,285.0,1693.5384615384614,3072.0,0,0,0,0.0
single_replica,28,1028,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,28,1028,1.0,0.0,150.68965517241378,285.0,1536.0,1536.0,0,0,0,0.0
hot_standby,28,1028,1.0,0.0,150.68965517241378,285.0,3072.0,3072.0,0,0,0,0.0
trajectory_dynamic,28,1028,1.0,0.0,150.68965517241378,285.0,1693.5384615384614,3072.0,0,0,0,0.0
single_replica,29,1029,0.9565217391304348,0.05172413793103448,152.0,285.0,1536.0,1536.0,0,0,0,0.0
cold_standby,29,1029,1.0,0.05172413793103448,237.8929655172414,508.5671999999979,1575.3846153846155,3072.0,3,0,9,4800.0
hot_standby,29,1029,1.0,0.0,155.1343448275862,285.0,3072.0,3072.0,3,9,0,0.0
trajectory_dynamic,29,1029,1.0,0.05172413793103448,237.8929655172414,508.5671999999979,1732.923076923077,3072.0,3,0,9,4800.0
