episode,episode_seed,reward,average_reward_20,epsilon,average_loss,decision_count,replay_size,single_count,cold_count,hot_count,dynamic_count
60,10059,-2.7297897244444442,-2.6595616684444443,0.7452272727272727,0.003281397127116529,13,780,3,2,5,3
61,10060,-2.7176777244444446,-2.648893678222222,0.740909090909091,0.003548529070730393,13,793,3,3,2,5
62,10061,-2.658759377777778,-2.6471988515555553,0.7365909090909091,0.002852354458389947,13,806,4,1,4,4
63,10062,-2.5111444444444446,-2.6370111893333332,0.7322727272727273,0.003267625167679328,13,819,8,1,2,2
64,10063,-2.3418127822222226,-2.612378773333333,0.7279545454545455,0.004268179952095334,13,832,4,4,1,4
65,10064,-3.534320284444445,-2.657733634666667,0.7236363636363636,0.00344005821702572,13,845,8,0,2,3
66,10065,-2.4513002844444447,-2.630974648,0.7193181818181817,0.004233044500534351,13,858,2,4,2,5
67,10066,-2.6109777777777783,-2.6223732133333333,0.7150000000000001,0.003761258218079232,13,871,4,2,4,3
68,10067,-2.367857511111111,-2.622757672,0.7106818181818182,0.0036431462414419423,13,884,5,1,2,5
69,10068,-2.825368337777778,-2.6346425048888884,0.7063636363636363,0.004330862170228591,13,897,3,0,3,7
70,10069,-2.6118850844444443,-2.6541672728888885,0.7020454545454545,0.003408732098670533,13,910,4,2,3,4
71,10070,-2.0568927111111113,-2.617359686222222,0.6977272727272728,0.003990532812447502,13,923,6,3,0,4
72,10071,-2.315055555555556,-2.6103866577777777,0.6934090909090909,0.0037517522712453054,13,936,9,3,0,1
73,10072,-2.578667857777778,-2.597691105777778,0.6890909090909091,0.004178707380420887,13,949,2,4,2,5
74,10073,-2.6180839111111114,-2.603120259555556,0.6847727272727273,0.0030477994676822652,13,962,3,4,3,3
75,10074,-3.029191128888889,-2.639095353777778,0.6804545454545454,0.0030329244820257793,13,975,3,4,1,5
76,10075,-2.9953007111111116,-2.6485657537777785,0.6761363636363638,0.0033989810169889377,13,988,5,3,2,3
77,10076,-2.953083626666667,-2.6711809706666676,0.6718181818181819,0.002938844460564164,13,1001,8,2,2,1
78,10077,-3.0578916800000004,-2.663820803555556,0.6675,0.003326701743599887,13,1014,5,4,2,2
79,10078,-3.2723279822222224,-2.7118694248888895,0.6631818181818182,0.0036105918787563075,13,1027,5,2,4,2
80,10079,-3.197771591111111,-2.7352685182222225,0.6588636363636364,0.00364894294538177,13,1040,4,4,3,2
81,10080,-2.6758011911111113,-2.733174691555556,0.6545454545454545,0.0034830333629193213,13,1053,5,3,0,5
82,10081,-2.2592444444444446,-2.7131989448888896,0.6502272727272728,0.003731099799132118,13,1066,4,3,3,3
83,10082,-2.3605563911111114,-2.705669542222222,0.645909090909091,0.0032221732231286857,13,1079,6,3,0,4
84,10083,-3.088823342222222,-2.7430200702222223,0.6415909090909091,0.003587295659459554,13,1092,3,2,3,5
85,10084,-2.1173897244444446,-2.672173542222222,0.6372727272727272,0.003993618902033911,13,1105,6,1,0,6
86,10085,-2.3592444444444447,-2.667570750222222,0.6329545454545455,0.004303335409181623,13,1118,3,2,4,4
87,10086,-1.9467444444444446,-2.6343590835555553,0.6286363636363637,0.0036074977117375685,13,1131,8,0,0,5
88,10087,-2.339488888888889,-2.632940652444444,0.6243181818181818,0.004988044822731843,13,1144,6,2,1,4
89,10088,-3.2857169600000002,-2.6559580835555554,0.62,0.005246803200302215,13,1157,6,2,2,3
90,10089,-2.350370488888889,-2.642882353777778,0.6156818181818182,0.004083044647883911,13,1170,8,2,1,2
91,10090,-3.2238011377777775,-2.701227775111111,0.6113636363636363,0.004084771131881728,13,1183,6,4,1,2
92,10091,-2.936389244444445,-2.7322944595555554,0.6070454545454546,0.0034312007662195424,13,1196,7,1,4,1
93,10092,-2.3551555555555557,-2.7211188444444447,0.6027272727272728,0.004906599015857165,13,1209,9,2,0,2
94,10093,-2.3317818844444447,-2.706803743111111,0.5984090909090909,0.0037652132764028814,13,1222,1,5,2,5
95,10094,-2.832824124444445,-2.6969853928888887,0.5940909090909091,0.0036103922622994734,13,1235,5,3,3,2
96,10095,-3.527908088888889,-2.723615761777778,0.5897727272727273,0.003822502805493199,13,1248,6,2,3,2
97,10096,-2.386076604444445,-2.695265410666667,0.5854545454545454,0.0036719650961458683,13,1261,4,4,1,4
98,10097,-2.595722577777778,-2.6721569555555558,0.5811363636363637,0.003786994771172221,13,1274,6,4,1,2
99,10098,-3.5651595377777783,-2.6867985333333335,0.5768181818181819,0.003825445516178241,13,1287,5,2,1,5
100,10099,-2.717700355555556,-2.6627949715555563,0.5725,0.0043142682407051325,13,1300,5,2,3,3
101,10100,-2.5131520888888885,-2.654662516444445,0.5681818181818182,0.003667761410514896,13,1313,7,2,2,2
102,10101,-2.495444444444445,-2.6664725164444447,0.5638636363636363,0.0029605749833325925,13,1326,7,2,2,2
103,10102,-2.8402752888888894,-2.6904584613333338,0.5595454545454546,0.003354132963487735,13,1339,7,3,2,1
104,10103,-2.302533333333333,-2.651143960888889,0.5552272727272727,0.0036417324489985523,13,1352,7,3,1,2
105,10104,-1.9457444444444445,-2.642561696888889,0.550909090909091,0.003233860766228575,13,1365,8,0,0,5
106,10105,-2.9744507555555555,-2.673322012444445,0.5465909090909091,0.0029001762069618474,13,1378,0,6,1,6
107,10106,-2.2882777777777776,-2.6903986791111114,0.5422727272727272,0.0035534884619454923,13,1391,6,5,0,2
108,10107,-2.5874522311111114,-2.7027968462222227,0.5379545454545455,0.003409149769980174,13,1404,7,0,1,5
109,10108,-2.0411444444444444,-2.6405682204444445,0.5336363636363637,0.002686270781291219,13,1417,10,2,1,0
110,10109,-3.221276657777777,-2.684113528888889,0.5293181818181818,0.003040224242095764,13,1430,4,4,2,3
111,10110,-2.5217669511111116,-2.6490118195555556,0.525,0.0032614199355101357,13,1443,2,4,4,3
112,10111,-2.323000835555556,-2.618342399111111,0.5206818181818182,0.004598520087221494,13,1456,9,2,2,0
113,10112,-2.4802003555555556,-2.6245946391111112,0.5163636363636364,0.003774767293809698,13,1469,4,5,2,2
114,10113,-2.8638295288888886,-2.6511970213333327,0.5120454545454545,0.0034843466352098263,13,1482,3,4,3,3
115,10114,-2.4536802844444443,-2.6322398293333333,0.5077272727272728,0.0037882890767202927,13,1495,4,4,1,4
116,10115,-2.910312622222222,-2.601360056,0.5034090909090909,0.0039278673581205886,13,1508,9,2,2,0
117,10116,-2.3063777777777776,-2.5973751146666664,0.49909090909090914,0.004044908027236278,13,1521,8,1,2,2
118,10117,-2.5977310222222223,-2.5974755368888887,0.49477272727272725,0.003008708617506692,13,1534,10,1,2,0
119,10118,-2.318822222222223,-2.535158671111111,0.4904545454545455,0.003295760637579056,13,1547,10,2,1,0
120,10119,-2.6707038222222224,-2.5328088444444443,0.4861363636363637,0.003725709465260689,13,1560,7,1,1,4
121,10120,-2.421789724444445,-2.528240726222222,0.4818181818181819,0.003760457522450731,13,1573,5,6,0,2
122,10121,-2.7168236266666668,-2.5393096853333335,0.47750000000000004,0.003821273746255499,13,1586,3,3,2,5
123,10122,-2.2586379911111116,-2.5102278204444444,0.47318181818181815,0.00366494650594317,13,1599,10,1,1,1
124,10123,-2.2613897244444447,-2.5081706400000003,0.46886363636363637,0.003165775927929924,13,1612,4,3,3,3
125,10124,-2.8667034844444443,-2.5542185920000002,0.4645454545454546,0.004013921626700232,13,1625,4,4,3,2
126,10125,-2.6330297244444445,-2.537147540444444,0.4602272727272727,0.003636495711711737,13,1638,7,2,1,3
127,10126,-3.092071128888889,-2.5773372080000003,0.45590909090909093,0.003410232504113362,13,1651,7,4,0,2
128,10127,-2.4339777777777782,-2.5696634853333333,0.45159090909090915,0.0036400786260716044,13,1664,8,1,1,3
129,10128,-2.115655555555556,-2.573389040888889,0.4472727272727274,0.004125576126031005,13,1677,10,3,0,0
130,10129,-2.828645564444445,-2.553757486222222,0.4429545454545455,0.0035048424570749584,13,1690,6,1,2,4
131,10130,-2.395435004444445,-2.547440888888889,0.4386363636363636,0.004468041848248014,13,1703,8,0,3,2
132,10131,-2.689551395555556,-2.565768416888889,0.4343181818181818,0.0033213318988250997,13,1716,9,1,1,2
133,10132,-2.1178111111111115,-2.5476489546666667,0.43000000000000005,0.004078715529221182,13,1729,8,2,0,3
134,10133,-3.2536402311111114,-2.567139489777778,0.4256818181818183,0.003602108936040447,13,1742,3,2,3,5
135,10134,-2.4151379911111115,-2.5652123751111113,0.4213636363636364,0.0028039587016862174,13,1755,6,3,0,4
136,10135,-1.9411444444444448,-2.5167539662222227,0.4170454545454546,0.0036933315344727957,13,1768,10,2,0,1
137,10136,-2.674041671111111,-2.5351371608888895,0.4127272727272727,0.004157419316470623,13,1781,8,1,1,3
138,10137,-2.8441093155555555,-2.547456075555556,0.40840909090909094,0.0030294904897276024,13,1794,2,1,3,7
139,10138,-2.4532555555555557,-2.5541777422222234,0.40409090909090906,0.00446511223876419,13,1807,8,3,1,1
140,10139,-2.782937795555556,-2.5597894408888893,0.3997727272727273,0.0035203263306846986,13,1820,2,8,0,3
141,10140,-2.3481524444444446,-2.556107576888889,0.3954545454545455,0.0033734822287582434,13,1833,6,3,3,1
142,10141,-2.3557341688888895,-2.5380531040000003,0.3911363636363637,0.0034779000024382886,13,1846,6,2,0,5
143,10142,-2.110588888888889,-2.5306506488888894,0.38681818181818184,0.004269754979759455,13,1859,6,6,0,1
144,10143,-2.4329563911111105,-2.5392289822222227,0.38250000000000006,0.003965685054516563,13,1872,7,3,2,1
145,10144,-2.491144444444445,-2.5204510302222225,0.3781818181818182,0.003038632235704706,13,1885,6,3,1,3
146,10145,-3.130449386666667,-2.545322013333334,0.3738636363636364,0.003830158097956043,13,1898,8,2,0,3
147,10146,-2.648797031111111,-2.5231583084444447,0.3695454545454545,0.0036046782938333657,13,1911,6,2,4,1
148,10147,-2.536694382222222,-2.528294138666667,0.36522727272727273,0.004147534554179471,13,1924,9,3,0,1
149,10148,-2.514755911111111,-2.5482491564444447,0.36090909090909096,0.0035120158169705132,13,1937,8,2,1,2
150,10149,-2.6868847288888893,-2.541161114666667,0.3565909090909092,0.0030736022521383488,13,1950,10,0,3,0
151,10150,-2.5388666666666673,-2.548332697777778,0.3522727272727274,0.0027568844917158666,13,1963,13,0,0,0
152,10151,-2.071040977777778,-2.517407176888889,0.3479545454545454,0.004068083953685486,13,1976,7,1,0,5
153,10152,-2.4026003555555557,-2.5316466391111114,0.34363636363636363,0.0032597303820344117,13,1989,9,2,2,0
154,10153,-2.5527352000000003,-2.496601387555556,0.33931818181818185,0.0028830755304975007,13,2002,9,2,2,0
155,10154,-2.041144444444445,-2.4779017102222225,0.3350000000000001,0.003623544256417797,13,2015,10,2,1,0
156,10155,-3.1419191111111107,-2.5379404435555557,0.3306818181818182,0.0030914431151289204,13,2028,6,5,1,1
157,10156,-1.9092444444444443,-2.4997005822222222,0.3263636363636364,0.0036514572387274643,13,2041,11,0,0,2
158,10157,-2.810457511111111,-2.4980179920000003,0.32204545454545463,0.003576588028898606,13,2054,9,0,1,3
159,10158,-3.1531118933333335,-2.5330108088888887,0.31772727272727275,0.0037671986412113677,13,2067,6,3,3,1
160,10159,-2.116711111111111,-2.4996994746666665,0.31340909090909086,0.0033710076151272426,13,2080,11,2,0,0
161,10160,-2.497977777777778,-2.507190741333333,0.3090909090909091,0.004214000118036683,13,2093,9,1,1,2
162,10161,-3.210473617777778,-2.5499277137777776,0.3047727272727273,0.0032398102339357138,13,2106,8,1,0,4
163,10162,-2.592488888888889,-2.574022713777778,0.30045454545454553,0.005069122667639301,13,2119,10,1,2,0
164,10163,-2.2011708444444444,-2.5624334364444445,0.29613636363636364,0.0046752064058986995,13,2132,8,1,2,2
165,10164,-2.5228152888888893,-2.564016978666667,0.29181818181818187,0.003142041628822111,13,2145,10,0,2,1
166,10165,-2.5607555555555557,-2.5355322871111112,0.2875000000000001,0.0038123294675292876,13,2158,7,5,0,1
167,10166,-2.3479777777777784,-2.5204913244444453,0.2831818181818182,0.003827402090582137,13,2171,6,2,2,3
168,10167,-2.509755555555556,-2.519144383111112,0.2788636363636364,0.004230931687813539,13,2184,7,1,3,2
169,10168,-2.123255555555556,-2.4995693653333335,0.27454545454545454,0.004541604537875033,13,2197,9,2,0,2
170,10169,-2.2260003555555556,-2.4765251466666673,0.27022727272727276,0.005315125060196106,13,2210,10,1,2,0
171,10170,-2.1890558400000004,-2.4590346053333336,0.265909090909091,0.005045089315479765,13,2223,7,2,0,4
172,10171,-2.279652088888889,-2.469465160888889,0.2615909090909092,0.004429367451498715,13,2236,4,5,1,3
173,10172,-2.3525444444444448,-2.466962365333334,0.2572727272727273,0.003516139999891703,13,2249,10,0,0,3
174,10173,-2.3684616711111115,-2.4577486888888895,0.25295454545454543,0.004243412583421629,13,2262,8,3,0,2
175,10174,-2.127766666666667,-2.4620798000000006,0.24863636363636366,0.0035575102172935237,13,2275,9,1,0,3
176,10175,-2.1281002844444448,-2.4113888586666667,0.24431818181818188,0.00391579636086065,13,2288,8,3,0,2
177,10176,-2.526059662222223,-2.442229619555556,0.24,0.0035871225498759975,13,2301,4,3,1,5
178,10177,-2.2893777777777777,-2.4161756328888893,0.23568181818181821,0.003737478946837095,13,2314,10,2,0,1
179,10178,-2.1872225777777783,-2.367881167111112,0.23136363636363644,0.004384712244455631,13,2327,8,0,0,5
180,10179,-2.3283222222222224,-2.378461722666667,0.22704545454545466,0.0035566527378530456,13,2340,8,1,1,3
181,10180,-2.2819616711111115,-2.367660917333334,0.22272727272727266,0.003049632185138762,13,2353,10,0,1,2
182,10181,-2.5697447999999996,-2.335624476444445,0.21840909090909089,0.003375787753611803,13,2366,9,1,0,3
183,10182,-2.5151824355555554,-2.331759153777778,0.2140909090909091,0.0026263682655273722,13,2379,5,5,1,2
184,10183,-2.2172222222222224,-2.332561722666667,0.20977272727272733,0.0036901427576175104,13,2392,9,2,0,2
185,10184,-2.161706471111111,-2.314506281777778,0.20545454545454556,0.00306374342359889,13,2405,7,3,1,2
186,10185,-2.5045402844444444,-2.3116955182222223,0.20113636363636367,0.0028497329375778255,13,2418,4,2,2,5
187,10186,-2.4079222222222225,-2.3146927404444444,0.1968181818181819,0.0029176986113620493,13,2431,11,0,0,2
188,10187,-2.2742011200000007,-2.3029150186666674,0.1925,0.003051684327566853,13,2444,6,2,2,3
189,10188,-2.2323222222222223,-2.3083683520000005,0.18818181818181823,0.0036576051766482685,13,2457,13,0,0,0
190,10189,-2.8258333333333336,-2.3383600008888896,0.18386363636363634,0.002843682716887158,13,2470,8,2,1,2
191,10190,-2.314811111111111,-2.344647764444445,0.17954545454545456,0.0032823559237070954,13,2483,9,2,1,1
192,10191,-2.017578897777778,-2.331544104888889,0.1752272727272728,0.004001179692120506,13,2496,9,2,1,1
193,10192,-2.4949444444444446,-2.338664104888889,0.170909090909091,0.0030180999668888175,13,2509,12,1,0,0
194,10193,-2.4454336888888895,-2.342512705777778,0.16659090909090912,0.004332041242518104,13,2522,7,1,1,4
195,10194,-2.1477666666666675,-2.343512705777778,0.16227272727272735,0.0033000615210487293,13,2535,8,3,1,1
196,10195,-2.5725149333333333,-2.3657334382222226,0.15795454545454546,0.00353204756258772,13,2548,10,1,1,1
197,10196,-2.3914333333333335,-2.359002121777778,0.15363636363636368,0.0032924858924861136,13,2561,7,4,1,1
198,10197,-2.306377777777778,-2.3598521217777777,0.1493181818181818,0.0025549829991247794,13,2574,13,0,0,0
199,10198,-2.327329724444445,-2.366857479111111,0.14500000000000002,0.0031244020300129284,13,2587,8,2,1,2
200,10199,-2.3293927111111112,-2.366911003555556,0.14068181818181824,0.0027889912016689777,13,2600,9,1,2,1
201,10200,-2.1327000000000007,-2.35944792,0.13636363636363646,0.0026442568498448683,13,2613,12,0,1,0
202,10201,-2.0853222222222225,-2.3352267911111118,0.13204545454545458,0.0024772634765563104,13,2626,8,3,0,2
203,10202,-2.761656391111112,-2.3475504888888894,0.1277272727272727,0.0031462925163885723,13,2639,9,3,1,0
204,10203,-2.016711111111112,-2.337524933333334,0.12340909090909091,0.003552544799346763,13,2652,12,0,0,1
205,10204,-1.970088888888889,-2.3279440542222227,0.11909090909090914,0.003565414253479013,13,2665,11,1,0,1
206,10205,-2.0327,-2.3043520400000004,0.11477272727272736,0.0030156108640277614,13,2678,8,2,0,3
207,10206,-2.7336996444444446,-2.320640911111111,0.11045454545454547,0.0033413322481255117,13,2691,8,1,1,3
208,10207,-2.1213111111111114,-2.312996410666667,0.1061363636363637,0.0028667591261462523,13,2704,11,1,0,1
209,10208,-2.9273180622222226,-2.347746202666667,0.10181818181818192,0.002769484050356998,13,2717,7,4,0,2
210,10209,-1.8925777777777777,-2.301083424888889,0.09750000000000003,0.003311057028790506,13,2730,10,2,0,1
211,10210,-2.0213111111111113,-2.286408424888889,0.09318181818181814,0.003814287268771575,13,2743,5,3,1,4
212,10211,-2.679166026666667,-2.3194877813333337,0.08886363636363637,0.00325671207303038,13,2756,1,2,1,9
213,10212,-2.1178111111111115,-2.300631114666667,0.08454545454545459,0.0031411642960917493,13,2769,2,1,1,9
214,10213,-1.9943111111111114,-2.278074985777778,0.08022727272727281,0.003420459617000933,13,2782,11,1,0,1
215,10214,-2.2713452800000002,-2.2842539164444444,0.07590909090909093,0.0030105856712907553,13,2795,9,0,2,2
216,10215,-2.2772230577777783,-2.2694893226666664,0.07159090909090915,0.003051866911566601,13,2808,8,1,1,3
217,10216,-1.9411444444444446,-2.2469748782222227,0.06727272727272737,0.0036874601904016277,13,2821,9,3,0,1
218,10217,-2.0830444444444445,-2.2358082115555566,0.06295454545454549,0.003565614980358917,13,2834,10,1,0,2
219,10218,-2.32762688,-2.2358230693333336,0.0586363636363636,0.0038143300200597597,13,2847,7,5,0,1
220,10219,-2.3677666666666672,-2.2377417671111113,0.05431818181818182,0.003223849397797424,13,2860,10,1,2,0
221,10220,-2.2068777777777777,-2.2414506560000005,0.050000000000000044,0.0034734681696416093,13,2873,9,3,0,1
222,10221,-2.252789724444445,-2.2498240311111113,0.050000000000000044,0.0031049838110518,13,2886,8,4,0,1
223,10222,-2.745222577777778,-2.2490023404444446,0.050000000000000044,0.003417433561900487,13,2899,10,3,0,0
224,10223,-2.5538082133333337,-2.275857195555556,0.050000000000000044,0.0028804163806713545,13,2912,1,3,1,8
225,10224,-2.0243111111111114,-2.278568306666667,0.050000000000000044,0.002983970379528518,13,2925,10,2,0,1
226,10225,-2.6601338311111116,-2.309939998222222,0.050000000000000044,0.0035095423854027805,13,2938,6,3,1,3
227,10226,-2.4202704888888893,-2.2942685404444445,0.050000000000000044,0.003930406734490624,13,2951,7,1,0,5
228,10227,-2.5034847288888895,-2.313377221333334,0.050000000000000044,0.002867884307096784,13,2964,6,4,1,2
229,10228,-2.4572003555555555,-2.289871336,0.050000000000000044,0.003582603978709533,13,2977,8,1,1,3
230,10229,-1.9858666666666667,-2.294535780444445,0.050000000000000044,0.0035900555891343034,13,2990,9,2,0,2
231,10230,-2.041433333333334,-2.2955418915555557,0.050000000000000044,0.0034677103931943956,13,3003,11,0,0,2
232,10231,-2.3964222222222222,-2.2814047013333334,0.050000000000000044,0.0034641172969713807,13,3016,9,1,1,2
233,10232,-2.3041016711111113,-2.2907192293333334,0.050000000000000044,0.003806999374109392,13,3029,6,6,0,1
234,10233,-2.2086111111111113,-2.301434229333333,0.050000000000000044,0.0032273685523810294,13,3042,13,0,0,0
235,10234,-2.558055555555556,-2.3157697431111113,0.050000000000000044,0.0032259824936493086,13,3055,13,0,0,0
236,10235,-1.9624111111111113,-2.3000291457777777,0.050000000000000044,0.00251190981362015,13,3068,10,1,0,2
237,10236,-2.7939023288888896,-2.3426670400000003,0.050000000000000044,0.00323523291780685,13,3081,11,0,1,1
238,10237,-2.200044444444445,-2.34851704,0.050000000000000044,0.003067931133465698,13,3094,13,0,0,0
239,10238,-2.108488888888889,-2.3375601404444444,0.050000000000000044,0.0030657105022468246,13,3107,13,0,0,0
240,10239,-2.614266666666667,-2.3498851404444445,0.050000000000000044,0.002955781967522433,13,3120,10,0,1,2
241,10240,-2.040088888888889,-2.341545696,0.050000000000000044,0.0026664097900860584,13,3133,12,1,0,0
242,10241,-2.1133011911111117,-2.334571269333334,0.050000000000000044,0.0034119639939700183,13,3146,10,0,1,2
243,10242,-3.1574238933333336,-2.3551813351111113,0.050000000000000044,0.00311730162670406,13,3159,6,3,0,4
244,10243,-2.1721301511111113,-2.3360974320000003,0.050000000000000044,0.003102371128849112,13,3172,5,7,0,1
245,10244,-2.1338888888888894,-2.341576320888889,0.050000000000000044,0.003950935304881289,13,3185,11,1,0,1
246,10245,-2.268488888888889,-2.3219940737777782,0.050000000000000044,0.003546023929419999,13,3198,11,0,1,1
247,10246,-2.294829173333334,-2.3157220080000007,0.050000000000000044,0.0033264881035742853,13,3211,11,1,0,1
248,10247,-2.4030900800000006,-2.310702275555556,0.050000000000000044,0.00355489867237898,13,3224,2,8,1,2
249,10248,-2.4754563911111114,-2.3116150773333333,0.050000000000000044,0.004305067866180952,13,3237,10,2,0,1
250,10249,-2.4956111111111117,-2.3371022995555557,0.050000000000000044,0.003119689215404483,13,3250,13,0,0,0
251,10250,-2.0606444444444447,-2.3380628551111107,0.050000000000000044,0.003122763636593635,13,3263,13,0,0,0
252,10251,-2.8405,-2.360266744,0.050000000000000044,0.0035311783789298856,13,3276,13,0,0,0
