policy_id,display_name,total_requests,request_batches,handover_count,user_cold_starts,prewarm_starts,prewarm_startup_overhead_ms,warm_hits,deadline_violations,function_stage_cold_start_rate,deadline_violation_rate,average_batch_delay_ms,p95_batch_delay_ms
no_prewarming,被动响应式,92,58,4,15,0,0.0,159,5,0.08620689655172414,0.08620689655172414,288.62068965517244,1695.0
trajectory_aware,轨迹感知预热(3s),92,58,4,3,12,6400.0,171,1,0.017241379310344827,0.017241379310344827,178.27586206896552,285.0
