scenario_name,run_count,confidence_level,request_success_rate_count,request_success_rate_mean,request_success_rate_std,request_success_rate_ci_low,request_success_rate_ci_high,request_success_rate_min,request_success_rate_max,sla_violation_rate_count,sla_violation_rate_mean,sla_violation_rate_std,sla_violation_rate_ci_low,sla_violation_rate_ci_high,sla_violation_rate_min,sla_violation_rate_max,average_delay_ms_count,average_delay_ms_mean,average_delay_ms_std,average_delay_ms_ci_low,average_delay_ms_ci_high,average_delay_ms_min,average_delay_ms_max,p95_delay_ms_count,p95_delay_ms_mean,p95_delay_ms_std,p95_delay_ms_ci_low,p95_delay_ms_ci_high,p95_delay_ms_min,p95_delay_ms_max,average_memory_mb_count,average_memory_mb_mean,average_memory_mb_std,average_memory_mb_ci_low,average_memory_mb_ci_high,average_memory_mb_min,average_memory_mb_max,cold_start_stages_count,cold_start_stages_mean,cold_start_stages_std,cold_start_stages_ci_low,cold_start_stages_ci_high,cold_start_stages_min,cold_start_stages_max,request_delay_cost_count,request_delay_cost_mean,request_delay_cost_std,request_delay_cost_ci_low,request_delay_cost_ci_high,request_delay_cost_min,request_delay_cost_max,memory_cost_count,memory_cost_mean,memory_cost_std,memory_cost_ci_low,memory_cost_ci_high,memory_cost_min,memory_cost_max,cold_start_cost_count,cold_start_cost_mean,cold_start_cost_std,cold_start_cost_ci_low,cold_start_cost_ci_high,cold_start_cost_min,cold_start_cost_max,sla_penalty_count,sla_penalty_mean,sla_penalty_std,sla_penalty_ci_low,sla_penalty_ci_high,sla_penalty_min,sla_penalty_max,slow_control_cost_count,slow_control_cost_mean,slow_control_cost_std,slow_control_cost_ci_low,slow_control_cost_ci_high,slow_control_cost_min,slow_control_cost_max,total_system_cost_count,total_system_cost_mean,total_system_cost_std,total_system_cost_ci_low,total_system_cost_ci_high,total_system_cost_min,total_system_cost_max
fixed_single,30,0.95,30,0.9253623188405797,0.043265345738657625,0.9098802981962789,0.9408443394848806,0.8152173913043478,0.9782608695652174,30,0.0735632183908046,0.03945519896898688,0.05944461620390329,0.0876818205777059,0.017241379310344827,0.1896551724137931,30,150.50244705842167,2.2067062943329683,149.7128018626768,151.29209225416653,145.18867924528303,153.05555555555554,30,285.0,0.0,285.0,285.0,285.0,285.0,30,1536.0,0.0,1536.0,1536.0,1536.0,1536.0,30,0.0,0.0,0.0,0.0,0.0,0.0,30,8087.666666666667,378.13912175586756,7952.353806235477,8222.979527097856,7125.0,8550.0,30,1797.1200000000001,0.0,1797.1200000000001,1797.1200000000001,1797.1200000000001,1797.1200000000001,30,0.0,0.0,0.0,0.0,0.0,0.0,30,21333.333333333332,11442.007701006194,17238.938699131955,25427.72796753471,5000.0,55000.0,30,770.0,0.0,770.0,770.0,770.0,770.0,30,31988.120000000003,11083.22749582169,28022.110854198174,35954.12914580183,16022.12,64692.12
fixed_cold,30,0.95,30,0.9916666666666667,0.01606732597529106,0.9859171535586296,0.9974161797747038,0.9456521739130435,1.0,30,0.0735632183908046,0.03945519896898688,0.05944461620390329,0.0876818205777059,0.017241379310344827,0.1896551724137931,30,264.54375739636447,69.35173474809126,239.72701386278237,289.36050092994657,177.59728571428573,471.0968275862069,30,1174.4346399999995,724.8535123407976,915.0539081334061,1433.8153718665928,285.0,1887.4959999999999,30,1587.2,31.095685231686286,1576.0727564177191,1598.327243582281,1549.128205128205,1680.4102564102564,30,11.7,7.10584994552206,9.157250978267811,14.242749021732187,3.0,33.0,30,15257.899466666668,4048.7834976552185,13809.087522029991,16706.711411303346,9945.448,27323.616,30,1857.0240000000001,36.38195172107293,1844.0051250087313,1870.042874991269,1812.48,1966.08,30,1248.0,757.957327522353,976.7734376818998,1519.2265623181002,320.0,3520.0,30,21333.333333333332,11442.007701006194,17238.938699131955,25427.72796753471,5000.0,55000.0,30,770.0,0.0,770.0,770.0,770.0,770.0,30,40466.2568,16119.161745925929,34698.19484051195,46234.31875948806,18355.824,88579.696
fixed_hot,30,0.95,30,0.9916666666666667,0.01606732597529106,0.9859171535586296,0.9974161797747038,0.9456521739130435,1.0,30,0.00632183908045977,0.011528881645851237,0.00219635757558672,0.01044732058533282,0.0,0.034482758620689655,30,156.45341660184945,4.080521812209629,154.99324745590633,157.91358574779258,149.02585714285715,167.64855172413792,30,285.7384,3.1229283181014265,284.6208949884009,286.85590501159913,285.0,302.0015999999998,30,3072.0,0.0,3072.0,3072.0,3072.0,3072.0,30,0.0,0.0,0.0,0.0,0.0,0.0,30,9017.899466666668,289.4416763160951,8914.325996224181,9121.472937109154,8345.448,9723.616,30,3594.2400000000002,0.0,3594.2400000000002,3594.2400000000002,3594.2400000000002,3594.2400000000002,30,0.0,0.0,0.0,0.0,0.0,0.0,30,1833.3333333333333,3343.375677296859,636.9436969201488,3029.7229697465177,0.0,10000.0,30,770.0,0.0,770.0,770.0,770.0,770.0,30,15215.4728,3161.6846413494486,14084.099271083418,16346.846328916581,13217.584,23192.271999999997
fixed_dynamic,30,0.95,30,0.9916666666666667,0.01606732597529106,0.9859171535586296,0.9974161797747038,0.9456521739130435,1.0,30,0.06551724137931035,0.03771965749315112,0.05201968332135776,0.07901479943726294,0.017241379310344827,0.1724137931034483,30,251.5728243165385,66.81200971021475,227.66489301584048,275.48075561723647,177.59728571428573,443.5106206896552,30,1055.2282799999998,755.4777562013346,784.8890045791986,1325.567555420801,285.0,1887.4959999999999,30,1791.1247863247863,29.993108500838247,1780.3920875084716,1801.857485141101,1759.179487179487,1877.3333333333333,30,10.3,6.853893934761868,7.847410622053106,12.752589377946896,3.0,30.0,30,14511.232800000002,3906.8265721859348,13113.218555305271,15909.247044694732,9945.448,25723.616,30,2095.616,35.09193694598072,2083.058742384912,2108.173257615088,2058.2400000000002,2196.48,30,1098.6666666666667,731.0820197079325,837.057133018998,1360.2762003143355,320.0,3200.0,30,19000.0,10938.700673013826,15085.708163193749,22914.291836806253,5000.0,50000.0,30,770.0,0.0,770.0,770.0,770.0,770.0,30,37475.51546666667,15440.163169693138,31950.42556241621,43000.60537091713,18601.584000000003,81890.096
two_timescale,30,0.95,30,0.9916666666666667,0.01606732597529106,0.9859171535586296,0.9974161797747038,0.9456521739130435,1.0,30,0.031609195402298854,0.02643376570365574,0.0221501676436244,0.041068223160973305,0.0,0.08620689655172414,30,197.2387131766197,38.28402190241953,183.53920361947004,210.93822273376938,152.64386206896555,304.68303448275867,30,466.4655866666666,455.4043221285423,303.5042374314927,629.4269359018405,285.0,1779.448,30,2172.280341880342,16.795801073545576,2166.2701520963765,2178.2905316643073,2153.025641025641,2218.6666666666665,30,4.4,3.8381029796969517,3.0265777251485693,5.7734222748514314,0.0,15.0,30,11364.566133333334,2198.2532799041514,10577.945754371025,12151.186512295642,8853.344000000001,17671.615999999998,30,2541.568,19.651087256048413,2534.536077952761,2548.5999220472395,2519.04,2595.84,30,469.3333333333333,409.3976511676749,322.8349573491806,615.831709317486,0.0,1600.0,30,9166.666666666666,7665.792054060164,6423.548616651075,11909.784716682258,0.0,25000.0,30,1010.0,0.0,1010.0,1010.0,1010.0,1010.0,30,24552.134133333333,10019.56419747673,20966.745016388642,28137.523250278024,12382.384000000002,47877.456
