scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,cold_start_function_stages,total_cold_start_delay_ms,slow_decision_updates,slow_mode_switches,total_request_delay_cost,total_memory_cost,total_cold_start_cost,total_sla_penalty,total_slow_control_cost,total_system_cost
two_timescale,27,5027,1.0,0.0,156.5903448275862,285.0,2153.025641025641,3072.0,0,0.0,13,4,9082.24,2519.04,0.0,0.0,1010.0,12611.279999999999
fixed_single,28,5028,0.8586956521739131,0.1206896551724138,147.15686274509804,285.0,1536.0,1536.0,0,0.0,1,0,7505.0,1797.1200000000001,0.0,35000.0,770.0,45072.12
fixed_cold,28,5028,0.9565217391304348,0.1206896551724138,300.5005714285714,1803.31,1601.6410256410256,3072.0,15,8000.0,1,0,16828.032,1873.92,1600.0,35000.0,770.0,56071.952
fixed_hot,28,5028,0.9565217391304348,0.034482758620689655,157.64342857142856,285.474,3072.0,3072.0,0,0.0,1,0,8828.032,3594.2400000000002,0.0,10000.0,770.0,23192.271999999997
fixed_dynamic,28,5028,0.9565217391304348,0.10344827586206896,271.92914285714284,1803.31,1798.5641025641025,3072.0,12,6400.0,1,0,15228.032000000001,2104.32,1280.0,30000.0,770.0,49382.352
two_timescale,28,5028,0.9565217391304348,0.08620689655172414,243.35771428571428,742.62,2192.4102564102564,3072.0,9,4800.0,13,4,13628.032000000001,2565.12,960.0,25000.0,1010.0,43163.152
fixed_single,29,5029,0.9782608695652174,0.034482758620689655,152.67857142857142,285.0,1536.0,1536.0,0,0.0,1,0,8550.0,1797.1200000000001,0.0,10000.0,770.0,21117.120000000003
fixed_cold,29,5029,1.0,0.034482758620689655,208.70510344827588,285.0,1562.2564102564102,3072.0,6,3200.0,1,0,12104.896,1827.8400000000001,640.0,10000.0,770.0,25342.736
fixed_hot,29,5029,1.0,0.0,153.53268965517242,285.0,3072.0,3072.0,0,0.0,1,0,8904.896,3594.2400000000002,0.0,0.0,770.0,13269.136
fixed_dynamic,29,5029,1.0,0.034482758620689655,208.70510344827588,285.0,1772.3076923076924,3072.0,6,3200.0,1,0,12104.896,2073.6,640.0,10000.0,770.0,25588.496
two_timescale,29,5029,1.0,0.017241379310344827,181.11889655172416,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10504.896,2534.4,320.0,5000.0,1010.0,19369.296000000002
