scenario_name,run_index,random_seed,request_success_rate,sla_violation_rate,average_successful_batch_delay_ms,p95_successful_batch_delay_ms,average_active_memory_mb,peak_active_memory_mb,cold_start_function_stages,total_cold_start_delay_ms,slow_decision_updates,slow_mode_switches,total_request_delay_cost,total_memory_cost,total_cold_start_cost,total_sla_penalty,total_slow_control_cost,total_system_cost
fixed_hot,5,5005,0.9891304347826086,0.017241379310344827,156.18933333333334,285.0,3072.0,3072.0,0,0.0,1,0,8902.792,3594.2400000000002,0.0,5000.0,770.0,18267.032
fixed_dynamic,5,5005,0.9891304347826086,0.034482758620689655,184.25950877192986,285.0,1759.179487179487,3072.0,3,1600.0,1,0,10502.792000000001,2058.2400000000002,320.0,10000.0,770.0,23651.032
two_timescale,5,5005,0.9891304347826086,0.034482758620689655,184.25950877192986,285.0,2166.153846153846,3072.0,3,1600.0,13,4,10502.792000000001,2534.4,320.0,10000.0,1010.0,24367.192000000003
fixed_single,6,5006,0.8804347826086957,0.08620689655172414,145.18867924528303,285.0,1536.0,1536.0,0,0.0,1,0,7695.0,1797.1200000000001,0.0,25000.0,770.0,35262.12
fixed_cold,6,5006,1.0,0.08620689655172414,297.25737931034485,1808.8823999999997,1601.6410256410256,3072.0,15,8000.0,1,0,17240.928000000004,1873.92,1600.0,25000.0,770.0,46484.848000000005
fixed_hot,6,5006,1.0,0.0,159.3263448275862,302.0015999999998,3072.0,3072.0,0,0.0,1,0,9240.927999999998,3594.2400000000002,0.0,0.0,770.0,13605.167999999998
fixed_dynamic,6,5006,1.0,0.08620689655172414,297.25737931034485,1808.8823999999997,1811.6923076923076,3072.0,15,8000.0,1,0,17240.928000000004,2119.68,1600.0,25000.0,770.0,46730.60800000001
two_timescale,6,5006,1.0,0.034482758620689655,214.49875862068964,398.344,2179.2820512820513,3072.0,6,3200.0,13,4,12440.927999999998,2549.76,640.0,10000.0,1010.0,26640.688
fixed_single,7,5007,0.9239130434782609,0.08620689655172414,152.35849056603774,285.0,1536.0,1536.0,0,0.0,1,0,8075.0,1797.1200000000001,0.0,25000.0,770.0,35642.12
fixed_cold,7,5007,1.0,0.08620689655172414,296.12303448275867,1775.448,1601.6410256410256,3072.0,15,8000.0,1,0,17175.136,1873.92,1600.0,25000.0,770.0,46419.056
fixed_hot,7,5007,1.0,0.0,158.192,285.0,3072.0,3072.0,0,0.0,1,0,9175.136,3594.2400000000002,0.0,0.0,770.0,13539.376
fixed_dynamic,7,5007,1.0,0.08620689655172414,296.12303448275867,1775.448,1811.6923076923076,3072.0,15,8000.0,1,0,17175.136,2119.68,1600.0,25000.0,770.0,46664.816
two_timescale,7,5007,1.0,0.034482758620689655,213.36441379310347,302.0015999999998,2179.2820512820513,3072.0,6,3200.0,13,4,12375.136000000002,2549.76,640.0,10000.0,1010.0,26574.896
fixed_single,8,5008,0.9456521739130435,0.06896551724137931,153.05555555555554,285.0,1536.0,1536.0,0,0.0,1,0,8265.0,1797.1200000000001,0.0,20000.0,770.0,30832.120000000003
fixed_cold,8,5008,1.0,0.06896551724137931,266.8662068965518,1775.448,1588.5128205128206,3072.0,12,6400.0,1,0,15478.240000000002,1858.56,1280.0,20000.0,770.0,39386.8
fixed_hot,8,5008,1.0,0.0,156.52137931034483,285.0,3072.0,3072.0,0,0.0,1,0,9078.240000000002,3594.2400000000002,0.0,0.0,770.0,13442.480000000001
fixed_dynamic,8,5008,1.0,0.06896551724137931,266.8662068965518,1775.448,1798.5641025641025,3072.0,12,6400.0,1,0,15478.240000000002,2104.32,1280.0,20000.0,770.0,39632.56
two_timescale,8,5008,1.0,0.034482758620689655,211.69379310344831,285.2844,2179.2820512820513,3072.0,6,3200.0,13,4,12278.240000000002,2549.76,640.0,10000.0,1010.0,26478.0
fixed_single,9,5009,0.9347826086956522,0.06896551724137931,151.2962962962963,285.0,1536.0,1536.0,0,0.0,1,0,8170.0,1797.1200000000001,0.0,20000.0,770.0,30737.120000000003
fixed_cold,9,5009,0.9782608695652174,0.06896551724137931,238.73319298245616,583.0895999999937,1575.3846153846155,3072.0,9,4800.0,1,0,13607.792000000001,1843.2,960.0,20000.0,770.0,37180.992
fixed_hot,9,5009,0.9782608695652174,0.017241379310344827,154.52266666666665,285.0,3072.0,3072.0,0,0.0,1,0,8807.792000000001,3594.2400000000002,0.0,5000.0,770.0,18172.032
