policy_name,episode_index,episode_seed,episode_reward,decision_count,total_requests,successful_requests,request_success_rate,request_batches,sla_violation_batches,sla_violation_rate,average_delay_ms,average_memory_mb,total_cold_start_delay_ms,reconfiguration_count,single_count,cold_count,hot_count,dynamic_count
Fixed-SINGLE,1,30000,-2.3920444444444446,13,92.0,86.0,0.9347826086956522,58.0,6.0,0.10344827586206896,157.1153846153846,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,2,30001,-2.355155555555556,13,92.0,83.0,0.9021739130434783,58.0,6.0,0.10344827586206896,151.6346153846154,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,3,30002,-2.1467111111111117,13,92.0,85.0,0.9239130434782609,58.0,4.0,0.06896551724137931,149.53703703703704,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,4,30003,-2.0562111111111117,13,92.0,89.0,0.967391304347826,58.0,3.0,0.05172413793103448,153.72727272727272,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,5,30004,-2.2422777777777783,13,92.0,82.0,0.8913043478260869,58.0,5.0,0.08620689655172414,146.9811320754717,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,6,30005,-1.8848111111111112,13,92.0,89.0,0.967391304347826,58.0,1.0,0.017241379310344827,148.33333333333334,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,7,30006,-1.990088888888889,13,92.0,89.0,0.967391304347826,58.0,2.0,0.034482758620689655,150.98214285714286,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,8,30007,-1.990088888888889,13,92.0,89.0,0.967391304347826,58.0,2.0,0.034482758620689655,150.98214285714286,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,9,30008,-2.2296666666666667,13,92.0,84.0,0.9130434782608695,58.0,5.0,0.08620689655172414,150.56603773584905,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,10,30009,-2.1469222222222224,13,92.0,85.0,0.9239130434782609,58.0,4.0,0.06896551724137931,149.53703703703704,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,11,30010,-2.0762111111111117,13,92.0,89.0,0.967391304347826,58.0,3.0,0.05172413793103448,153.72727272727272,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,12,30011,-1.8848111111111114,13,92.0,89.0,0.967391304347826,58.0,1.0,0.017241379310344827,148.33333333333334,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,13,30012,-1.9124111111111113,13,92.0,91.0,0.9891304347826086,58.0,1.0,0.017241379310344827,151.66666666666666,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,14,30013,-1.9858666666666667,13,92.0,88.0,0.9565217391304348,58.0,2.0,0.034482758620689655,149.28571428571428,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,15,30014,-1.8092444444444447,13,92.0,92.0,1.0,58.0,0.0,0.0,150.68965517241378,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,16,30015,-2.2667111111111113,13,92.0,85.0,0.9239130434782609,58.0,5.0,0.08620689655172414,152.35849056603774,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,17,30016,-2.311777777777778,13,92.0,83.0,0.9021739130434783,58.0,6.0,0.10344827586206896,151.6346153846154,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,18,30017,-2.385322222222223,13,92.0,83.0,0.9021739130434783,58.0,6.0,0.10344827586206896,151.6346153846154,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,19,30018,-2.2532555555555556,13,92.0,85.0,0.9239130434782609,58.0,5.0,0.08620689655172414,152.35849056603774,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,20,30019,-2.7489444444444446,13,92.0,75.0,0.8152173913043478,58.0,10.0,0.1724137931034483,148.4375,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,21,30020,-2.565811111111112,13,92.0,76.0,0.8260869565217391,58.0,8.0,0.13793103448275862,144.4,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,22,30021,-2.065655555555556,13,92.0,86.0,0.9347826086956522,58.0,3.0,0.05172413793103448,148.54545454545453,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,23,30022,-2.3509333333333338,13,92.0,82.0,0.8913043478260869,58.0,6.0,0.10344827586206896,149.80769230769232,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,24,30023,-2.210722222222223,13,92.0,84.0,0.9130434782608695,58.0,5.0,0.08620689655172414,150.56603773584905,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,25,30024,-2.2827000000000006,13,92.0,82.0,0.8913043478260869,58.0,5.0,0.08620689655172414,146.9811320754717,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,26,30025,-1.9700888888888892,13,92.0,89.0,0.967391304347826,58.0,2.0,0.034482758620689655,150.98214285714286,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,27,30026,-2.129877777777778,13,92.0,86.0,0.9347826086956522,58.0,4.0,0.06896551724137931,151.2962962962963,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,28,30027,-2.1667111111111113,13,92.0,85.0,0.9239130434782609,58.0,4.0,0.06896551724137931,149.53703703703704,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,29,30028,-2.361488888888889,13,92.0,85.0,0.9239130434782609,58.0,6.0,0.10344827586206896,155.28846153846155,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,30,30029,-1.9730444444444448,13,92.0,90.0,0.9782608695652174,58.0,2.0,0.034482758620689655,152.67857142857142,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,31,30030,-2.007133333333334,13,92.0,88.0,0.9565217391304348,58.0,2.0,0.034482758620689655,149.28571428571428,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,32,30031,-2.041644444444445,13,92.0,86.0,0.9347826086956522,58.0,3.0,0.05172413793103448,148.54545454545453,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,33,30032,-2.2646,13,92.0,83.0,0.9021739130434783,58.0,5.0,0.08620689655172414,148.77358490566039,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,34,30033,-2.215155555555556,13,92.0,85.0,0.9239130434782609,58.0,5.0,0.08620689655172414,152.35849056603774,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,35,30034,-2.087977777777778,13,92.0,87.0,0.9456521739130435,58.0,3.0,0.05172413793103448,150.27272727272728,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,36,30035,-2.5067111111111116,13,92.0,78.0,0.8478260869565217,58.0,8.0,0.13793103448275862,148.2,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,37,30036,-2.1013111111111114,13,92.0,87.0,0.9456521739130435,58.0,3.0,0.05172413793103448,150.27272727272728,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,38,30037,-2.0477666666666674,13,92.0,87.0,0.9456521739130435,58.0,3.0,0.05172413793103448,150.27272727272728,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,39,30038,-2.0690333333333335,13,92.0,87.0,0.9456521739130435,58.0,3.0,0.05172413793103448,150.27272727272728,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,40,30039,-2.199588888888889,13,92.0,87.0,0.9456521739130435,58.0,4.0,0.06896551724137931,153.05555555555554,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,41,30040,-2.2621888888888892,13,92.0,84.0,0.9130434782608695,58.0,4.0,0.06896551724137931,147.77777777777777,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,42,30041,-2.592566666666667,13,92.0,73.0,0.7934782608695652,58.0,9.0,0.15517241379310345,141.53061224489795,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,43,30042,-2.230722222222223,13,92.0,84.0,0.9130434782608695,58.0,5.0,0.08620689655172414,150.56603773584905,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,44,30043,-2.069877777777778,13,92.0,87.0,0.9456521739130435,58.0,3.0,0.05172413793103448,150.27272727272728,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,45,30044,-2.0187444444444447,13,92.0,90.0,0.9782608695652174,58.0,2.0,0.034482758620689655,152.67857142857142,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,46,30045,-2.3246000000000007,13,92.0,81.0,0.8804347826086957,58.0,6.0,0.10344827586206896,147.98076923076923,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,47,30046,-2.539166666666667,13,92.0,78.0,0.8478260869565217,58.0,8.0,0.13793103448275862,148.2,1536.0,0.0,0.0,13,0,0,0
Fixed-SINGLE,48,30047,-2.7212777777777784,13,92.0,75.0,0.8152173913043478,58.0,10.0,0.1724137931034483,148.4375,1536.0,0.0,0.0,13,0,0,0
